,title,guid,link,description,year_month
20996,Police officer rescues child and adult from sea at Clacton,https://www.bbc.co.uk/news/uk-england-essex-66562953,https://www.bbc.co.uk/news/uk-england-essex-66562953?at_medium=RSS&at_campaign=KARANGA,Two people had got into difficulties in the water at Clacton-on-Sea on Saturday afternoon.,2023-08
25735,Sir Rod Stewart to sell items from his Essex home after a declutter,https://www.bbc.co.uk/news/uk-england-essex-67522535,https://www.bbc.co.uk/news/uk-england-essex-67522535?at_medium=RSS&at_campaign=KARANGA,Auctioneer director John Black says it is going to be a pleasure to host the sale in December.,2023-11
39928,Paedophile head may have abused over four decades,https://www.bbc.com/news/articles/czd1jy23177o#0,https://www.bbc.com/news/articles/czd1jy23177o,Neil Foden may have offended for more than 40 years with four times as many victims as first thought.,2024-10
32742,'I watch my back': Spike in BBC journalists living in exile,https://www.bbc.co.uk/news/world-68929462#4,https://www.bbc.co.uk/news/world-68929462,The number of BBC World Service journalists working in exile is estimated to have doubled since 2020.,2024-05
40740,"What is a 'working person', according to Labour?",https://www.bbc.com/news/articles/cwyg44lwjydo#1,https://www.bbc.com/news/articles/cwyg44lwjydo,"The government has promised not to raise taxes on ""working people"" in this Wednesday's Budget.",2024-10
28691,The Papers: Cyborgs among us and Robbie Williams' Port Vale bid,https://www.bbc.co.uk/news/blogs-the-papers-68149437,https://www.bbc.co.uk/news/blogs-the-papers-68149437?at_medium=RSS&at_campaign=KARANGA,A range of stories on Wednesday's papers including analysis of the situation in Stormont.,2024-01
37505,'Overwhelming' - GB's Aldridge wins kite sailing gold,https://www.bbc.com/sport/olympics/articles/cvgdl2g4w34o#9,https://www.bbc.com/sport/olympics/articles/cvgdl2g4w34o,Great Britain's Ellie Aldridge claims gold in the women's kite sailing final at Paris 2024.,2024-08
35365,Uefa Euro 2024 TV schedule,https://www.bbc.com/sport/football/articles/crgg298849mo#3,https://www.bbc.com/sport/football/articles/crgg298849mo,Throughout Euro 2024 BBC Sport will update this page with your channel guide for each game.,2024-06
18237,'No-one will marry you' - Berlusconi's handshake advice to reporter,https://www.bbc.co.uk/news/world-europe-65877713,https://www.bbc.co.uk/news/world-europe-65877713?at_medium=RSS&at_campaign=KARANGA,The former Italian prime minister was speaking to the BBC's Sofia Bettiza in 2018.,2023-06
40263,"Last chance to see 'comet of the century' for 80,000 years",https://www.bbc.com/weather/articles/cq5e6jne670o#3,https://www.bbc.com/weather/articles/cq5e6jne670o,Comet A3 was bright in the Monday evening sky and could be visible again on Tuesday - cloud permitting.,2024-10
12698,Newspaper headlines: 'Enough for second Harry book' and 'train more doctors',https://www.bbc.co.uk/news/uk-64271541,https://www.bbc.co.uk/news/uk-64271541?at_medium=RSS&at_campaign=KARANGA,Saturday's headlines include Prince Harry claiming he has enough material to write a second book.,2023-01
2347,Falklands War veterans mark 40th anniversary of RAF raid,https://www.bbc.co.uk/news/uk-england-lincolnshire-61283828,https://www.bbc.co.uk/news/uk-england-lincolnshire-61283828?at_medium=RSS&at_campaign=KARANGA,Vulcan bombers from RAF Waddington carried out the attack on the airport at Port Stanley in 1982.,2022-04
30187,The 'banned' Star Trek episode that promised a united Ireland,https://www.bbc.co.uk/news/entertainment-arts-68342135#2,https://www.bbc.co.uk/news/entertainment-arts-68342135,"A scene discussing Ireland's ""2024 unification"" stopped the episode from being shown in the UK.",2024-03
14454,Asylum seekers: Will this migrant bill become a reality?,https://www.bbc.co.uk/news/uk-64882930,https://www.bbc.co.uk/news/uk-64882930?at_medium=RSS&at_campaign=KARANGA,The government has unveiled sweeping changes to asylum rules - but admits they may never come into force.,2023-03
35333,Scotland boss Clarke furious at '100% penalty' denial,https://www.bbc.com/sport/football/articles/c4nnn4752elo#7,https://www.bbc.com/sport/football/articles/c4nnn4752elo,Furious Scotland head coach Steve Clarke has railed against the decision not to award his side a penalty as they crashed out of Euro 2024.,2024-06
19125,Buck Moon: July supermoon to appear brighter than usual in the sky this week,https://www.bbc.co.uk/news/world-66091619,https://www.bbc.co.uk/news/world-66091619?at_medium=RSS&at_campaign=KARANGA,"July's full Moon, known as a Buck Moon, will be closer than normal in its orbit around the Earth.",2023-07
5064,"British Airways to cancel 10,300 more flights",https://www.bbc.co.uk/news/business-62070451,https://www.bbc.co.uk/news/business-62070451?at_medium=RSS&at_campaign=KARANGA,The airline says the cancellations will affect short-haul flights between August and the end of October.,2022-07
12802,Australian Open 2023: Andy Murray faces tough start against Matteo Berrettini,https://www.bbc.co.uk/sport/tennis/64291860,https://www.bbc.co.uk/sport/tennis/64291860?at_medium=RSS&at_campaign=KARANGA,Andy Murray faces a tough start to his Australian Open campaign against Matteo Berrettini as Novak Djokovic makes his return on Tuesday.,2023-01
9859,Courtney Lawes: England captain ruled out of Argentina Test,https://www.bbc.co.uk/sport/rugby-union/63454437,https://www.bbc.co.uk/sport/rugby-union/63454437?at_medium=RSS&at_campaign=KARANGA,"Captain Courtney Lawes is ruled out of England's match with Argentina at Twickenham on Sunday, but Owen Farrell returns.",2022-10
33932,Thorpe Park: UK's tallest rollercoaster could remain shut for two weeks,https://www.bbc.com/news/articles/c977472rdyjo#5,https://www.bbc.com/news/articles/c977472rdyjo,"Thorpe Park says it is ""unable to commit"" to reopening the ride before 8 June.",2024-05
3261,Pay gap from bosses to staff to widen - think tank,https://www.bbc.co.uk/news/business-61544250,https://www.bbc.co.uk/news/business-61544250?at_medium=RSS&at_campaign=KARANGA,The High Pay Centre says pay gaps were the greatest in the retail sector in the early months of 2022.,2022-05
33889,US actor shot dead during attempted car theft,https://www.bbc.com/news/articles/cjrrn8nkj2do#5,https://www.bbc.com/news/articles/cjrrn8nkj2do,"General Hospital and Siberia actor Johnny Wactor was killed on Saturday in LA, his family confirms.",2024-05
4335,Newspaper headlines: Big wage rises 'risky' and 'tell dad you love him',https://www.bbc.co.uk/news/blogs-the-papers-61849419,https://www.bbc.co.uk/news/blogs-the-papers-61849419?at_medium=RSS&at_campaign=KARANGA,"Several stories lead Saturday's front pages, but the cost-of-living crisis continues to dominate.",2022-06
12427,Warm winter may lower energy bills later this year,https://www.bbc.co.uk/news/business-64162811,https://www.bbc.co.uk/news/business-64162811?at_medium=RSS&at_campaign=KARANGA,"Forecasts suggest bills for households may drop later in the year, although a rise in April remains certain.",2023-01
17784,Across the Spider-Verse opens ground-breaking franchise to female fans,https://www.bbc.co.uk/news/entertainment-arts-65772674,https://www.bbc.co.uk/news/entertainment-arts-65772674?at_medium=RSS&at_campaign=KARANGA,Spider-Woman takes the spotlight in the sequel film to 2018's Oscar-winning Spider-Man animation.,2023-06
21810,The Papers: 'Prison cuts row' and 'baby deaths cover-up',https://www.bbc.co.uk/news/blogs-the-papers-66747627,https://www.bbc.co.uk/news/blogs-the-papers-66747627?at_medium=RSS&at_campaign=KARANGA,Almost all of Friday's papers continue to cover the story of missing terror suspect Daniel Khalife.,2023-09
7947,England v India: Watch the best shots from Smriti Mandhana's 79 not out,https://www.bbc.co.uk/sport/av/cricket/62896841,https://www.bbc.co.uk/sport/av/cricket/62896841?at_medium=RSS&at_campaign=KARANGA,Watch the best shots from Smriti Mandhana's innings as she hits 13 fours in her unbeaten 79 to guide India to an eight-wicket win over England and level the T20 series at 1-1 ahead of the final match in the series in Bristol on Thursday.,2022-09
32330,TikTok warns US ban would 'trample free speech',https://www.bbc.co.uk/news/world-us-canada-68867732#3,https://www.bbc.co.uk/news/world-us-canada-68867732,The US House of Representatives voted on Saturday to ban the app if TikTok's owner does not cut China ties.,2024-04
25351,Wales school summer holidays may be cut by a week,https://www.bbc.co.uk/news/uk-wales-67475949,https://www.bbc.co.uk/news/uk-wales-67475949?at_medium=RSS&at_campaign=KARANGA,The summer break starts a week later and children are off for two weeks in October under new plans.,2023-11
31206,Major Baltimore Bridge Collapses,https://www.bbc.co.uk/sounds/play/p0hlzmj8#5,https://www.bbc.co.uk/sounds/play/p0hlzmj8,A container ship hit the Francis Key Scott bridge on Tuesday morning.,2024-03
33249,Plan to ban sex education for children under nine in England,https://www.bbc.co.uk/news/uk-politics-69013002#0,https://www.bbc.co.uk/news/uk-politics-69013002,New guidance for schools in England is expected to be set out on Thursday.,2024-05
35837,France's 'luck' continues as Mbappe struggles with mask,https://www.bbc.com/sport/football/articles/c80xpze0yg1o#2,https://www.bbc.com/sport/football/articles/c80xpze0yg1o,An own goal was enough to send France into the Euro 2024 quarter-finals at Belgium's expense but their scoring struggles remain a concern.,2024-07
11756,"Why is Elon Musk spending his time on Twitter, not on the mission to Mars?",https://www.bbc.co.uk/news/technology-63871980,https://www.bbc.co.uk/news/technology-63871980?at_medium=RSS&at_campaign=KARANGA,"Friends and colleagues say his plans may be hard to predict, but they wouldn't bet against him.",2022-12
17379,Junior doctors in England announce new three-day strike,https://www.bbc.co.uk/news/health-65673576,https://www.bbc.co.uk/news/health-65673576?at_medium=RSS&at_campaign=KARANGA,They will walk out between 07:00 on Wednesday 14 June and 07:00 on Saturday 17 June.,2023-05
30360,Israel back in Eurovision 2024 after lyric change,https://www.bbc.co.uk/news/entertainment-arts-68505050#0,https://www.bbc.co.uk/news/entertainment-arts-68505050,Israel has changed lyrics to its Eurovision song after it was thought to reference the 7 October attacks.,2024-03
21694,UK heatwave: Heat-health alert upgraded to amber as temperatures to hit 32C,https://www.bbc.co.uk/news/uk-66710496,https://www.bbc.co.uk/news/uk-66710496?at_medium=RSS&at_campaign=KARANGA,"Temperatures could hit as high as 32C by midweek, with the England alert in force until Sunday.",2023-09
8296,Jhulan Goswami: The highest wicket-taker in women's ODI history to retire,https://www.bbc.co.uk/news/world-asia-india-62956110,https://www.bbc.co.uk/news/world-asia-india-62956110?at_medium=RSS&at_campaign=KARANGA,"On Saturday, one of India's best female cricketers is set to play her last international game.",2022-09
37107,Murray & Evans win 'nerve-wracking' tie-break to reach quarters,https://www.bbc.com/sport/olympics/videos/c035rrgm6pyo#1,https://www.bbc.com/sport/olympics/videos/c035rrgm6pyo,"Watch the winning moment from Andy Murray and Dan Evans' ""nerve-wracking"" second-round match against Belgium on day four of the Paris 2024 Olympics.",2024-07
29561,Fans get rare chance to see Billy Connolly's 'Big Banana Feet' ,https://www.bbc.co.uk/news/uk-scotland-glasgow-west-68297196,https://www.bbc.co.uk/news/uk-scotland-glasgow-west-68297196?at_medium=RSS&at_campaign=KARANGA,The 1975 documentary was discovered on eBay and will now be screened in the cinema again.,2024-02
1214,Russia's war ignites Orban's tightest election challenge in Hungary,https://www.bbc.co.uk/news/world-europe-60952882,https://www.bbc.co.uk/news/world-europe-60952882?at_medium=RSS&at_campaign=KARANGA,"For the first time since 2010, Hungary's prime minister faces a real fight for election victory.",2022-04
